year,scenario,mean_tmax_f,heat_stress_days,extreme_heat_days,annual_precip_mm,dry_days,heavy_precip_days
2006,rcp85,63.10950950000005,0,0,697.4810755999999,0,8
2007,rcp85,65.17392350000006,0,0,505.586799,0,5
2008,rcp85,62.48814350000004,0,0,559.0925385,0,7
2009,rcp85,66.53103050000006,0,0,658.8340213,0,9
2010,rcp85,62.31763250000004,0,0,603.268465,0,8
2011,rcp85,66.74537150000003,0,0,422.2186419,0,6
2012,rcp85,67.91427650000003,1,0,414.0169741,0,6
2013,rcp85,62.48377550000006,0,0,398.89814789999997,0,8
2014,rcp85,68.07202100000002,0,0,456.15322510000004,0,5
2015,rcp85,67.56258500000004,0,0,352.5301686,1,7
2016,rcp85,62.19720800000004,0,0,581.357042,0,8
2017,rcp85,64.20653000000001,0,0,604.0769624999999,0,8
2018,rcp85,68.50325150000003,0,0,419.48904812999996,1,6
2019,rcp85,60.24419750000005,0,0,550.0815392,0,6
2020,rcp85,62.094648500000055,0,0,483.620635,0,7
2021,rcp85,65.11550450000003,0,0,517.378847,0,6
2022,rcp85,64.54752500000002,0,0,506.7653831999999,0,9
2023,rcp85,60.52416650000004,0,0,633.8097696000001,0,8
2024,rcp85,64.59060500000002,0,0,511.6646271,0,7
2025,rcp85,67.99954550000004,0,0,401.739661,0,5
2026,rcp85,63.39739700000006,0,0,613.2876938999999,0,9
2027,rcp85,65.46451400000004,0,0,532.4389711000001,0,8
2028,rcp85,67.35194900000002,0,0,588.746544,0,6
2029,rcp85,64.16002100000003,0,0,633.435795,0,8
2030,rcp85,66.75940700000004,0,0,513.4865842,0,8
2031,rcp85,60.13546550000004,0,0,614.5811841000001,0,8
2032,rcp85,64.99037450000004,0,0,476.5047386,0,7
2033,rcp85,63.33049250000004,0,0,626.8588289999999,0,7
2034,rcp85,68.04381950000004,0,0,439.88293110000006,1,6
2035,rcp85,66.03698900000002,0,0,580.3660848000001,0,7
2036,rcp85,69.33533150000004,0,0,372.8899194,0,7
2037,rcp85,66.79950050000004,0,0,529.6471772,0,6
2038,rcp85,65.06698250000004,0,0,798.363175,1,9
2039,rcp85,61.648364000000036,0,0,464.41566070000005,1,8
2040,rcp85,62.44347800000005,0,0,659.0593882000001,0,8
2041,rcp85,66.71672000000005,0,0,502.5836643,1,5
2042,rcp85,68.43970700000006,0,0,417.87012109999995,0,6
2043,rcp85,68.95750700000004,0,0,463.89527300000003,0,8
2044,rcp85,60.05955200000006,0,0,688.7681058,0,9
2045,rcp85,63.030564500000025,0,0,429.9878138,0,5
2046,rcp85,68.07136400000005,0,0,507.3568881000001,1,9
2047,rcp85,65.22350600000006,0,0,615.029589,0,8
2048,rcp85,65.06961650000004,0,0,617.6782095,0,8
2049,rcp85,66.97065200000002,0,0,559.665154,0,8
2050,rcp85,68.91268850000004,0,0,601.1482129999999,0,8
2051,rcp85,65.67123950000003,0,0,500.4996835,0,8
2052,rcp85,63.04588250000004,0,0,567.679773,0,6
2053,rcp85,69.11212400000005,0,0,420.68592185,1,6
2054,rcp85,70.85526950000003,1,0,337.4989053,0,6
2055,rcp85,69.70169000000006,0,0,478.20097819999995,0,7
2056,rcp85,68.87082500000002,0,0,717.7500525999999,0,7
2057,rcp85,71.00503250000004,0,0,364.21255899999994,0,6
2058,rcp85,63.718187000000036,0,0,396.07109389999994,0,6
2059,rcp85,69.75637100000004,0,0,395.05659944999996,1,3
2060,rcp85,68.05863650000003,0,0,349.507142,0,5
2061,rcp85,70.09402550000004,0,0,358.23317799999995,0,8
2062,rcp85,69.04283600000007,1,0,720.9465677000001,0,8
2063,rcp85,71.56966100000005,0,0,452.8752049999999,0,7
2064,rcp85,68.14215800000002,0,0,634.8111202,0,8
2065,rcp85,66.28419200000003,0,0,631.2824784,0,8
2066,rcp85,67.30969850000004,0,0,499.1101912,0,7
2067,rcp85,69.05593850000005,0,0,739.3114797999999,0,9
2068,rcp85,70.32128150000004,0,0,587.7199690000001,0,7
2069,rcp85,71.71251200000005,0,0,527.4993707,0,7
2070,rcp85,71.62457900000004,0,0,390.71529630000003,0,5
2071,rcp85,68.82286850000004,1,0,491.4072327,0,6
2072,rcp85,69.34804250000006,0,0,511.151994,1,9
2073,rcp85,70.47337700000001,0,0,526.282808,0,6
2074,rcp85,69.09108350000004,0,0,828.967939,0,8
2075,rcp85,69.14389100000004,0,0,564.736557,0,8
2076,rcp85,70.36089350000003,0,0,664.056824,0,7
2077,rcp85,70.91406800000006,0,0,619.5211734,0,8
2078,rcp85,69.87554900000003,1,0,454.2350824999999,0,3
2079,rcp85,72.77877050000004,2,0,551.1618309999999,0,10
2080,rcp85,68.73356000000004,0,0,558.5757590000001,0,9
2081,rcp85,69.79409450000004,0,0,680.170814,0,8
2082,rcp85,68.91539300000005,0,0,610.9412820000001,0,7
2083,rcp85,68.66184050000004,0,0,440.951722,0,9
2084,rcp85,70.51405850000003,1,0,386.408641,0,6
2085,rcp85,71.15756000000003,0,0,520.7163476000001,0,7
2086,rcp85,73.42654700000004,1,0,612.3541522999999,0,8
2087,rcp85,70.83823700000006,2,0,444.2395017,0,7
2088,rcp85,77.11783850000005,3,2,438.62492549999996,0,7
2089,rcp85,74.74391600000004,2,0,279.4615348,0,5
2090,rcp85,69.44935550000005,0,0,750.0612346,0,9
2091,rcp85,73.85780450000004,2,0,563.3274672999999,0,7
2092,rcp85,71.89716350000005,2,0,617.5966400000001,0,9
2093,rcp85,72.46197650000005,2,0,506.79706179999994,0,6
2094,rcp85,75.95970050000004,2,0,475.9913513,0,7
2095,rcp85,68.49969350000005,0,0,541.880442,0,9
2096,rcp85,72.92310950000002,2,0,561.6271885,0,8
2097,rcp85,77.15692250000005,2,0,349.91558530000003,1,7
2098,rcp85,76.07355650000005,2,0,312.957821,1,5
2099,rcp85,70.10498750000005,1,0,624.0955189000001,0,8
