date,nitrate_mgl,MonitoringLocationIdentifier,ph,tds_mgl,turbidity_ntu,arsenic_ugl,fluoride_mgl,nitrate_mgl_alert,arsenic_ugl_alert,tds_mgl_alert,ph_alert,turbidity_ntu_alert,fluoride_mgl_alert,any_alert
2000-11-15,,OGLALAST-BC3,,,,0.007,0.5,False,False,False,False,False,False,False
2000-11-15,,OGLALAST-CC1,,,,0.011,0.5,False,False,False,False,False,False,False
2000-11-15,,SDDENR_WQX-460132,7.62,,,,,False,False,False,False,False,False,False
2000-11-20,,SDDENR_WQX-460835,8.31,,,,,False,False,False,False,False,False,False
2000-12-06,,SDDENR_WQX-460132,8.24,,,,,False,False,False,False,False,False,False
2000-12-18,,SDDENR_WQX-460835,8.09,,,,,False,False,False,False,False,False,False
2001-01-08,,SDDENR_WQX-460835,8.4,,,,,False,False,False,False,False,False,False
2001-01-17,,SDDENR_WQX-460657,8.1,,,,,False,False,False,False,False,False,False
2001-02-06,,SDDENR_WQX-460132,7.86,,,,,False,False,False,False,False,False,False
2001-02-12,,SDDENR_WQX-460835,8.61,,,,,False,False,False,True,False,False,True
2001-03-19,,SDDENR_WQX-460132,8.08,,,,,False,False,False,False,False,False,False
2001-03-19,,SDDENR_WQX-460835,8.38,,,,,False,False,False,False,False,False,False
2001-04-16,,SDDENR_WQX-460835,8.59,,,,,False,False,False,True,False,False,True
2001-05-21,,SDDENR_WQX-460132,8.61,,,,,False,False,False,True,False,False,True
2001-05-21,,SDDENR_WQX-460835,8.59,,,,,False,False,False,True,False,False,True
2001-06-13,,SDDENR_WQX-460132,8.04,,,,,False,False,False,False,False,False,False
2001-06-18,,SDDENR_WQX-460835,8.62,,,,,False,False,False,True,False,False,True
2001-07-09,,SDDENR_WQX-460835,8.45,,,,,False,False,False,False,False,False,False
2001-07-12,,SDDENR_WQX-460132,8.14,,,,,False,False,False,False,False,False,False
2001-07-12,,SDDENR_WQX-460657,7.85,,,,,False,False,False,False,False,False,False
2001-07-12,,SDDENR_WQX-460842,7.62,,,,,False,False,False,False,False,False,False
2001-07-16,,SDDENR_WQX-460111,8.18,,,,,False,False,False,False,False,False,False
2001-07-16,,SDDENR_WQX-460650,8.23,,,,,False,False,False,False,False,False,False
2001-07-16,,SDDENR_WQX-460651,8.47,,,,,False,False,False,False,False,False,False
2001-07-17,0.01,COEOMAHA_WQX-CODLKND1,8.2,473.0,3.0,6.7,,False,False,False,False,True,False,True
2001-07-17,0.01,COEOMAHA_WQX-CODLKND1,8.2,473.0,3.0,6.7,,False,False,False,False,True,False,True
2001-07-17,0.01,COEOMAHA_WQX-CODLKND1,8.2,473.0,3.0,6.7,,False,False,False,False,True,False,True
2001-07-17,0.01,COEOMAHA_WQX-CODLKND1,8.2,473.0,3.0,6.7,,False,False,False,False,True,False,True
2001-07-17,0.01,COEOMAHA_WQX-CODLKND1,8.2,473.0,3.0,6.7,,False,False,False,False,True,False,True
2001-07-17,0.01,COEOMAHA_WQX-CODLKND1,8.2,473.0,3.0,6.7,,False,False,False,False,True,False,True
2001-07-17,0.01,COEOMAHA_WQX-CODLKND1,8.2,473.0,3.0,6.7,,False,False,False,False,True,False,True
2001-07-17,0.01,COEOMAHA_WQX-CODLKND1,8.2,473.0,3.0,6.7,,False,False,False,False,True,False,True
2001-07-17,0.06,COEOMAHA_WQX-CODRL1,8.2,505.0,3.0,8.2,,False,False,True,False,True,False,True
2001-08-01,,NARS-WSDP99-0599,8.62,,7390.0,,,False,False,False,True,True,False,True
2001-08-13,,SDDENR_WQX-460835,8.63,,,,,False,False,False,True,False,False,True
2001-08-22,,SDDENR_WQX-CUSTERZ1LL06,7.6,127.5,,,,False,False,False,False,False,False,False
2001-08-22,,SDDENR_WQX-CUSTERZ1LL1,9.2,123.0,,,,False,False,False,True,False,False,True
2001-08-22,,SDDENR_WQX-CUSTERZ1LL1,9.2,107.5,,,,False,False,False,True,False,False,True
