division,div_name,year,month,date,pdsi,nation,drought_class
6,East Central,2024,11,2024-11-01,2.31,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2024,12,2024-12-01,2.32,Rosebud (Sicangu Lakota),Near-normal or wet
7,Southwest,2000,1,2000-01-01,-1.33,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2000,2,2000-02-01,-1.24,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2000,3,2000-03-01,-1.96,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2000,4,2000-04-01,-2.01,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2000,5,2000-05-01,-1.33,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2000,6,2000-06-01,-1.45,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2000,7,2000-07-01,-1.11,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2000,8,2000-08-01,-1.31,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2000,9,2000-09-01,-1.94,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2000,10,2000-10-01,-2.05,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2000,11,2000-11-01,1.3,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2000,12,2000-12-01,1.31,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2001,1,2001-01-01,2.01,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2001,2,2001-02-01,2.55,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2001,3,2001-03-01,2.35,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2001,4,2001-04-01,4.47,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2001,5,2001-05-01,4.06,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2001,6,2001-06-01,4.04,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2001,7,2001-07-01,4.04,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2001,8,2001-08-01,-0.92,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2001,9,2001-09-01,-0.68,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2001,10,2001-10-01,-0.93,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2001,11,2001-11-01,-0.58,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2001,12,2001-12-01,-0.92,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,1,2002-01-01,-0.91,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,2,2002-02-01,-1.21,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,3,2002-03-01,-1.18,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,4,2002-04-01,-1.46,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,5,2002-05-01,-1.5,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,6,2002-06-01,-2.39,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2002,7,2002-07-01,-3.06,Pine Ridge (Oglala Lakota),Severe drought
7,Southwest,2002,8,2002-08-01,-1.7,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,9,2002-09-01,-2.23,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2002,10,2002-10-01,-1.31,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,11,2002-11-01,-1.69,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2002,12,2002-12-01,-1.73,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2003,1,2003-01-01,-1.78,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2003,2,2003-02-01,-1.43,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2003,3,2003-03-01,-1.89,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2003,4,2003-04-01,-2.01,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2003,5,2003-05-01,-1.87,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2003,6,2003-06-01,-1.46,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2003,7,2003-07-01,-1.64,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2003,8,2003-08-01,-2.18,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2003,9,2003-09-01,-2.11,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2003,10,2003-10-01,-2.31,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2003,11,2003-11-01,-2.11,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2003,12,2003-12-01,-2.16,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2004,1,2004-01-01,-2.14,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2004,2,2004-02-01,-2.21,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2004,3,2004-03-01,-2.16,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2004,4,2004-04-01,-2.58,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2004,5,2004-05-01,1.02,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2004,6,2004-06-01,1.09,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2004,7,2004-07-01,1.76,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2004,8,2004-08-01,1.83,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2004,9,2004-09-01,3.65,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2004,10,2004-10-01,4.53,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2004,11,2004-11-01,4.08,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2004,12,2004-12-01,3.68,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,1,2005-01-01,3.49,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,2,2005-02-01,3.47,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,3,2005-03-01,3.16,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,4,2005-04-01,2.55,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,5,2005-05-01,2.7,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,6,2005-06-01,3.46,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,7,2005-07-01,3.24,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,8,2005-08-01,3.06,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,9,2005-09-01,4.7,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,10,2005-10-01,4.27,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,11,2005-11-01,4.7,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2005,12,2005-12-01,4.92,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,1,2006-01-01,4.46,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,2,2006-02-01,4.07,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,3,2006-03-01,4.2,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,4,2006-04-01,3.83,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,5,2006-05-01,-0.52,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2006,6,2006-06-01,-1.29,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2006,7,2006-07-01,-2.45,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2006,8,2006-08-01,0.85,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,9,2006-09-01,2.3,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,10,2006-10-01,1.67,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,11,2006-11-01,1.16,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2006,12,2006-12-01,1.45,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,1,2007-01-01,1.09,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,2,2007-02-01,1.47,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,3,2007-03-01,1.97,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,4,2007-04-01,2.82,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,5,2007-05-01,3.97,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,6,2007-06-01,3.61,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,7,2007-07-01,2.45,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,8,2007-08-01,3.66,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,9,2007-09-01,3.42,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,10,2007-10-01,4.16,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,11,2007-11-01,3.3,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2007,12,2007-12-01,3.19,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,1,2008-01-01,2.66,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,2,2008-02-01,2.12,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,3,2008-03-01,2.03,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,4,2008-04-01,2.16,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,5,2008-05-01,2.14,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,6,2008-06-01,2.67,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,7,2008-07-01,3.14,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,8,2008-08-01,2.62,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,9,2008-09-01,2.84,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,10,2008-10-01,4.17,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,11,2008-11-01,4.12,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2008,12,2008-12-01,4.42,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,1,2009-01-01,4.38,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,2,2009-02-01,4.39,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,3,2009-03-01,4.99,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,4,2009-04-01,4.54,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,5,2009-05-01,3.78,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,6,2009-06-01,3.65,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,7,2009-07-01,4.58,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,8,2009-08-01,4.66,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,9,2009-09-01,4.41,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,10,2009-10-01,6.71,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,11,2009-11-01,5.79,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2009,12,2009-12-01,6.26,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,1,2010-01-01,6.28,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,2,2010-02-01,6.25,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,3,2010-03-01,6.18,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,4,2010-04-01,5.42,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,5,2010-05-01,5.31,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,6,2010-06-01,6.77,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,7,2010-07-01,8.14,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,8,2010-08-01,8.08,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,9,2010-09-01,9.63,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,10,2010-10-01,8.78,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,11,2010-11-01,7.89,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2010,12,2010-12-01,8.27,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,1,2011-01-01,8.45,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,2,2011-02-01,8.57,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,3,2011-03-01,8.39,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,4,2011-04-01,8.11,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,5,2011-05-01,8.37,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,6,2011-06-01,8.06,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,7,2011-07-01,8.14,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,8,2011-08-01,0.0,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2011,9,2011-09-01,-0.66,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2011,10,2011-10-01,-1.0,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2011,11,2011-11-01,-1.4,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2011,12,2011-12-01,-1.56,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2012,1,2012-01-01,-1.49,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2012,2,2012-02-01,-0.64,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2012,3,2012-03-01,-1.75,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2012,4,2012-04-01,-1.13,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2012,5,2012-05-01,-0.56,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2012,6,2012-06-01,-1.2,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2012,7,2012-07-01,-2.29,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2012,8,2012-08-01,-2.66,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2012,9,2012-09-01,-3.43,Pine Ridge (Oglala Lakota),Severe drought
7,Southwest,2012,10,2012-10-01,-3.06,Pine Ridge (Oglala Lakota),Severe drought
7,Southwest,2012,11,2012-11-01,-3.24,Pine Ridge (Oglala Lakota),Severe drought
7,Southwest,2012,12,2012-12-01,0.38,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,1,2013-01-01,0.12,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,2,2013-02-01,0.37,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,3,2013-03-01,-0.34,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2013,4,2013-04-01,0.55,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,5,2013-05-01,1.49,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,6,2013-06-01,2.24,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,7,2013-07-01,2.46,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,8,2013-08-01,1.92,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,9,2013-09-01,1.65,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,10,2013-10-01,3.34,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,11,2013-11-01,2.89,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2013,12,2013-12-01,3.04,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,1,2014-01-01,2.83,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,2,2014-02-01,2.58,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,3,2014-03-01,2.52,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,4,2014-04-01,2.37,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,5,2014-05-01,2.14,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,6,2014-06-01,3.08,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,7,2014-07-01,2.77,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,8,2014-08-01,3.31,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2014,9,2014-09-01,-0.33,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2014,10,2014-10-01,-0.77,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2014,11,2014-11-01,-0.68,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2014,12,2014-12-01,-0.38,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2015,1,2015-01-01,-0.39,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2015,2,2015-02-01,-0.49,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2015,3,2015-03-01,-1.2,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2015,4,2015-04-01,-2.19,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2015,5,2015-05-01,0.66,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2015,6,2015-06-01,0.52,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2015,7,2015-07-01,1.13,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2015,8,2015-08-01,2.77,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2015,9,2015-09-01,2.3,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2015,10,2015-10-01,2.05,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2015,11,2015-11-01,2.08,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2015,12,2015-12-01,2.61,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,1,2016-01-01,2.38,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,2,2016-02-01,2.29,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,3,2016-03-01,1.8,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,4,2016-04-01,2.24,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,5,2016-05-01,2.28,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,6,2016-06-01,1.36,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,7,2016-07-01,1.33,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,8,2016-08-01,2.32,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,9,2016-09-01,2.41,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,10,2016-10-01,2.29,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,11,2016-11-01,2.15,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2016,12,2016-12-01,2.7,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,1,2017-01-01,2.59,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,2,2017-02-01,2.14,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,3,2017-03-01,1.83,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,4,2017-04-01,1.41,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,5,2017-05-01,1.3,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,6,2017-06-01,0.73,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,7,2017-07-01,1.29,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,8,2017-08-01,2.22,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,9,2017-09-01,3.42,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,10,2017-10-01,3.73,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,11,2017-11-01,3.15,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2017,12,2017-12-01,2.88,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,1,2018-01-01,2.55,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,2,2018-02-01,2.68,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,3,2018-03-01,3.19,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,4,2018-04-01,3.5,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,5,2018-05-01,2.4,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,6,2018-06-01,2.21,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,7,2018-07-01,2.81,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,8,2018-08-01,2.85,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,9,2018-09-01,3.41,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,10,2018-10-01,3.7,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,11,2018-11-01,3.6,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2018,12,2018-12-01,3.73,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,1,2019-01-01,3.75,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,2,2019-02-01,4.12,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,3,2019-03-01,5.11,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,4,2019-04-01,5.77,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,5,2019-05-01,6.86,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,6,2019-06-01,5.85,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,7,2019-07-01,7.55,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,8,2019-08-01,8.82,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,9,2019-09-01,10.27,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,10,2019-10-01,10.41,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,11,2019-11-01,9.97,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2019,12,2019-12-01,9.99,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,1,2020-01-01,9.41,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,2,2020-02-01,8.78,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,3,2020-03-01,8.02,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,4,2020-04-01,6.96,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,5,2020-05-01,6.42,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,6,2020-06-01,6.33,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,7,2020-07-01,6.49,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,8,2020-08-01,6.31,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2020,9,2020-09-01,-0.45,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2020,10,2020-10-01,-0.33,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2020,11,2020-11-01,-0.43,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2020,12,2020-12-01,-0.41,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2021,1,2021-01-01,-0.29,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2021,2,2021-02-01,-0.43,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2021,3,2021-03-01,-0.34,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2021,4,2021-04-01,-0.28,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2021,5,2021-05-01,-0.66,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2021,6,2021-06-01,-2.19,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2021,7,2021-07-01,-2.27,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2021,8,2021-08-01,-2.27,Pine Ridge (Oglala Lakota),Moderate drought
7,Southwest,2021,9,2021-09-01,0.47,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2021,10,2021-10-01,2.24,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2021,11,2021-11-01,1.84,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2021,12,2021-12-01,1.91,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2022,1,2022-01-01,1.8,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2022,2,2022-02-01,1.52,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2022,3,2022-03-01,1.08,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2022,4,2022-04-01,1.76,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2022,5,2022-05-01,2.86,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2022,6,2022-06-01,-0.85,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2022,7,2022-07-01,-0.11,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2022,8,2022-08-01,-0.36,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2022,9,2022-09-01,-1.25,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2022,10,2022-10-01,-1.67,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2022,11,2022-11-01,-1.57,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2022,12,2022-12-01,1.02,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2023,1,2023-01-01,1.07,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2023,2,2023-02-01,1.3,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2023,3,2023-03-01,1.23,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2023,4,2023-04-01,-0.07,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2023,5,2023-05-01,-0.81,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2023,6,2023-06-01,-1.13,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2023,7,2023-07-01,-1.13,Pine Ridge (Oglala Lakota),Mild drought
7,Southwest,2023,8,2023-08-01,0.72,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2023,9,2023-09-01,0.64,Pine Ridge (Oglala Lakota),Near-normal or wet
7,Southwest,2023,10,2023-10-01,1.74,Pine Ridge (Oglala Lakota),Near-normal or wet
